Assembly Accession	Assembly Name	Assembly Level	Organism Name	CheckM completeness	Assembly Stats Total Sequence Length
GCF_014229645.1	ASM1422964v1	Contig	Listeria swaminathanii	97.89	2796956
GCF_011800755.1	ASM1180075v1	Contig	Listeria valentina	84.79	2763400
GCF_003534205.1	Lweihen2.0	Complete Genome	Listeria weihenstephanensis	85.41	3406292
GCF_900187315.1	52087_C01	Complete Genome	Listeria welshimeri	99.8	2814137
GCF_002019645.1	ASM201964v1	Scaffold	Litchfieldia alkalitelluris	99.03	5427045
GCF_900104555.1	IMG-taxon 2651870172 annotated assembly	Scaffold	Litchfieldia salsa	99.03	4789739
GCF_900107015.1	IMG-taxon 2617270827 annotated assembly	Contig	Litoreibacter albidus	100	3580729
GCF_000442275.2	Thalar	Scaffold	Litoreibacter arenae DSM 19593	100	3682761
GCF_900129235.1	IMG-taxon 2695420937 annotated assembly	Contig	Litoreibacter ascidiaceicola	99.39	3743875
GCF_004365635.1	ASM436563v1	Contig	Litoreibacter halocynthiae	99.39	3680113
GCF_900111945.1	IMG-taxon 2617270836 annotated assembly	Scaffold	Litoreibacter janthinus	99.69	3754758
GCF_003663885.1	ASM366388v1	Contig	Litoreibacter meonggei	99.39	3949755
GCF_003054285.1	ASM305428v1	Contig	Litoreibacter ponti	100	3885483
GCF_009811795.1	ASM981179v1	Contig	Litoreibacter roseus	99.69	4471068
GCF_007483685.1	ASM748368v1	Scaffold	Litoribacter populi	97.37	4506955
GCF_018449405.1	ASM1844940v1	Scaffold	Litoribacter ruber	98.1	4291680
GCF_018500185.1	ASM1850018v1	Contig	Litoribacter ruber	97.66	4123681
GCF_011058155.1	ASM1105815v1	Contig	Litoribacterium kuwaitense	91.65	3863194
GCF_030159995.1	ASM3015999v1	Contig	Litoribrevibacter albus	99.07	4742290
GCF_030161595.1	ASM3016159v1	Contig	Litorihabitans aurantiacus	82.08	3845079
GCF_006569185.2	ASM656918v2	Contig	Litorilinea aerophila	98.66	6043010
GCF_006439335.1	ASM643933v1	Scaffold	Litorilituus lipolyticus	86.18	4139778
GCF_004295665.1	ASM429566v1	Complete Genome	Litorilituus sediminis	86.67	4275717
GCF_014652455.1	ASM1465245v1	Contig	Litorimonas cladophorae	97.95	3023839
GCF_003634015.1	ASM363401v1	Scaffold	Litorimonas taeanensis	97.95	2778231
GCF_009650135.1	ASM965013v1	Complete Genome	Litorivicinus lipolyticus	93.96	2346037
GCF_003205515.1	ASM320551v1	Scaffold	Litorivita pollutaquae	99.05	3421533
GCF_014191715.1	ASM1419171v1	Scaffold	Litorivivens lipolytica	92.34	3489636
GCF_001663675.1	ASM166367v1	Complete Genome	Loigolactobacillus backii	99.33	2851935
GCF_009650015.1	ASM965001v1	Chromosome	Loigolactobacillus bifermentans	99.35	3274863
GCF_005405165.1	ASM540516v1	Scaffold	Loigolactobacillus binensis	99.35	2845990
GCF_002706425.1	ASM270642v1	Complete Genome	Loigolactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001	98.35	2951508
GCF_003950295.1	ASM395029v1	Contig	Loigolactobacillus iwatensis	99.33	2622292
GCF_003946445.1	ASM394644v1	Contig	Loigolactobacillus jiayinensis	99	3038278
GCF_001436505.1	ASM143650v1	Scaffold	Loigolactobacillus rennini DSM 20253	99.35	2269330
GCF_003946385.1	ASM394638v1	Contig	Loigolactobacillus zhaoyuanensis	99.33	2698660
GCF_900128995.1	IMG-taxon 2695420928 annotated assembly	Contig	Loktanella atrilutea	97.41	4206024
GCF_900110065.1	IMG-taxon 2622736532 annotated assembly	Scaffold	Loktanella fryxellensis	96.56	3551153
GCF_020531945.1	ASM2053194v1	Contig	Loktanella gaetbuli	94.41	3360688
GCF_024206795.1	ASM2420679v1	Complete Genome	Loktanella salsilacus	98.82	3913840
GCF_014841105.1	ASM1484110v1	Scaffold	Lolliginicoccus lacisalsi	99.79	3449530
GCF_026008515.1	ASM2600851v1	Scaffold	Lolliginicoccus levis	99.79	3610473
GCF_008312885.1	ASM831288v1	Scaffold	Lolliginicoccus suaedae	99.79	3474458
GCF_004339625.1	ASM433962v1	Scaffold	Lonepinella koalarum	98.86	2486773
GCF_002554795.1	ASM255479v1	Contig	Longibacter salinarum	99.66	4406485
GCF_004343035.1	ASM434303v1	Scaffold	Longibaculum muris	100	3167958
GCF_018406465.1	ASM1840646v1	Complete Genome	Longicatena caecimuris	99.37	3103757
GCF_014198875.1	ASM1419887v1	Scaffold	Longimicrobium terrae	99.06	6784420
GCF_002554705.1	ASM255470v1	Contig	Longimonas halophila	97.93	3729970
GCF_014645795.1	ASM1464579v1	Scaffold	Longimycelium tulufanense	98.26	6828786
GCF_004115085.1	ASM411508v1	Contig	Longirhabdus pacifica	94.84	3781274
GCF_000379825.1	ASM37982v1	Scaffold	Longispora albida DSM 44784	93.53	6821241
GCF_016862835.1	ASM1686283v1	Contig	Longispora fulva	93.27	8618400
GCF_016924755.1	ASM1692475v1	Contig	Longitalea arenae	97.18	7284291
GCF_017356035.1	ASM1735603v1	Scaffold	Longitalea luteola	98.25	7299432
GCF_003515985.1	ASM351598v1	Complete Genome	Lonsdalea britannica	99.1	4015569
GCF_002111585.1	ASM211158v1	Contig	Lonsdalea iberica	94.12	3781823
GCF_015999465.1	ASM1599946v1	Complete Genome	Lonsdalea populi	100	3859707
GCF_900107885.1	IMG-taxon 2597490349 annotated assembly	Scaffold	Lonsdalea quercina	99.59	3779259
GCF_002262935.1	ASM226293v1	Contig	Lottiidibacillus patelloidae	97.42	3028380
GCF_900476375.1	Lucifera butyrica	Contig	Lucifera butyrica	99.68	5281299
GCF_003260125.1	ASM326012v1	Scaffold	Lujinxingia litoralis	94.13	5008384
GCF_004005565.1	ASM400556v1	Contig	Lujinxingia sediminis	92.13	5329124
GCF_007997015.1	ASM799701v1	Contig	Lujinxingia vulgaris	92.13	5553159
GCF_009797935.1	ASM979793v1	Scaffold	Lunatibacter salilacus	99.42	6791886
GCF_000390185.1	Lulo1	Contig	Lunatimonas lonarensis	99.63	5392044
GCF_017811155.1	ASM1781115v1	Scaffold	Lunatimonas salinarum	98.15	5459576
GCF_014384745.1	ASM1438474v1	Contig	Luoshenia tenuis	98.64	2655978
GCF_015207425.1	ASM1520742v1	Contig	Lusitaniella coriacea LEGE 07157	98.64	5864958
GCF_023078475.1	ASM2307847v1	Complete Genome	Luteibacter aegosomaticola	99.81	5091598
GCF_023078455.1	ASM2307845v1	Complete Genome	Luteibacter aegosomatis	99.81	4757936
GCF_023078495.1	ASM2307849v1	Complete Genome	Luteibacter aegosomatissinici	99.81	4994364
GCF_023699965.1	ASM2369996v1	Complete Genome	Luteibacter anthropi	100	4961663
GCF_023612255.1	ASM2361225v1	Complete Genome	Luteibacter flocculans	99.62	4299254
GCF_011742555.1	ASM1174255v1	Contig	Luteibacter jiangsuensis	99.76	4334851
GCF_006385595.1	ASM638559v1	Complete Genome	Luteibacter pinisoli	99.24	4610696
GCF_001887595.1	ASM188759v1	Complete Genome	Luteibacter rhizovicinus DSM 16549	99.81	4765486
GCF_011742875.1	ASM1174287v1	Contig	Luteibacter yeojuensis	100	4221433
GCF_007995015.1	ASM799501v1	Contig	Luteibaculum oceani	99.01	2923708
GCF_030161555.1	ASM3016155v1	Contig	Luteimicrobium album	70.52	4183861
GCF_002798015.1	ASM279801v1	Contig	Luteimicrobium subarcticum	100	3632746
GCF_009429125.1	ASM942912v1	Complete Genome	Luteimicrobium xylanilyticum	100	4208275
GCF_001482195.1	ASM148219v1	Scaffold	Luteimonas abyssi	84.95	3988191
GCF_004357985.1	ASM435798v1	Contig	Luteimonas aestuarii	85.15	3727962
GCF_022662575.1	ASM2266257v1	Scaffold	Luteimonas aquatica	83.83	3825884
GCF_004352825.1	ASM435282v1	Contig	Luteimonas arsenica	85.85	2965592
GCF_009828935.2	ASM982893v2	Contig	Luteimonas cellulosilyticus	71.78	3638373
GCF_002327105.1	ASM232710v1	Complete Genome	Luteimonas chenhongjianii	84.47	3351776
GCF_014836665.1	ASM1483666v1	Scaffold	Luteimonas colneyensis	85.73	3019767
GCF_029906185.1	ASM2990618v1	Scaffold	Luteimonas composti	91.76	3708029
GCF_007830035.1	ASM783003v1	Scaffold	Luteimonas cucumeris	82.78	3552091
GCF_013425765.1	ASM1342576v1	Contig	Luteimonas deserti	84.89	3726879
GCF_021233355.1	ASM2123335v1	Chromosome	Luteimonas fraxinea	86.78	4008283
GCF_023374055.1	ASM2337405v1	Contig	Luteimonas galliterrae	80.63	3599217
GCF_005239095.1	ASM523909v1	Scaffold	Luteimonas gilva	82.6	3632536
GCF_007795095.1	ASM779509v1	Complete Genome	Luteimonas granuli	77.53	2917404
GCF_000559025.1	Luteimonas huabeiensis HB-2 Genome	Contig	Luteimonas huabeiensis HB2	84.44	4295921
GCF_006476065.1	ASM647606v1	Scaffold	Luteimonas lumbrici	77.23	2358757
GCF_007859325.1	ASM785932v1	Contig	Luteimonas marina	89.59	3910508
GCF_000422305.1	ASM42230v1	Scaffold	Luteimonas mephitis DSM 12574	98.51	3416011
GCF_014652935.1	ASM1465293v1	Contig	Luteimonas padinae	84.9	3117387
GCF_020511115.1	ASM2051111v1	Contig	Luteimonas panaciterrae	84.19	4093429
GCF_013425525.1	ASM1342552v1	Scaffold	Luteimonas salinisoli	85.09	4524514
GCF_016774335.1	ASM1677433v1	Scaffold	Luteimonas saliphila	93.41	4647522
GCF_004358165.1	ASM435816v1	Contig	Luteimonas terrae	85.11	3569262
GCF_004352845.1	ASM435284v1	Contig	Luteimonas terricola	84.58	3039636
GCF_008244685.1	ASM824468v1	Scaffold	Luteimonas viscosa	93.07	4169055
GCF_003416885.1	ASM341688v1	Scaffold	Luteimonas weifangensis	79.2	2764764
GCF_007859305.1	ASM785930v1	Scaffold	Luteimonas wenzhouensis	93.02	3443522
GCF_004522065.1	ASM452206v1	Contig	Luteimonas yindakuii	82.78	2981868
GCF_001247745.1	ASM124774v1	Contig	Luteipulveratus halotolerans	97.5	4464286
GCF_001190945.1	ASM119094v1	Complete Genome	Luteipulveratus mongoliensis	96.93	5420910
GCF_016827595.1	ASM1682759v1	Scaffold	Luteirhabdus pelagi	100	3394992
GCF_001618865.1	ASM161886v1	Complete Genome	Luteitalea pratensis	96.48	7480314
GCF_005849285.1	ASM584928v1	Complete Genome	Luteithermobacter gelatinilyticus	97.39	3145891
GCF_003752415.1	ASM375241v1	Contig	Luteococcus japonicus	97.76	3452849
GCF_018137965.1	ASM1813796v1	Complete Genome	Luteolibacter ambystomatis	99.11	5321988
GCF_025950235.1	ASM2595023v1	Contig	Luteolibacter arcticus	98.49	7486770
GCF_025950085.1	ASM2595008v1	Contig	Luteolibacter flavescens	98.02	5910676
GCF_012913485.1	ASM1291348v1	Complete Genome	Luteolibacter luteus	98.89	6412079
GCF_014904755.1	ASM1490475v1	Contig	Luteolibacter marinus	96.4	6167941
GCF_016595435.1	ASM1659543v1	Contig	Luteolibacter pohnpeiensis	97.53	4667805
GCF_025950095.1	ASM2595009v1	Scaffold	Luteolibacter rhizosphaerae	98.99	6233507
GCF_016595465.1	ASM1659546v1	Scaffold	Luteolibacter yonseiensis	98.61	5727232
GCF_900188235.1	IMG-taxon 2724679779 annotated assembly	Scaffold	Lutibacter agarilyticus	99.68	4101932
GCF_003260195.1	ASM326019v1	Contig	Lutibacter citreus	99.35	5115381
GCF_900188355.1	IMG-taxon 2622736608 annotated assembly	Scaffold	Lutibacter flavus	99.03	3903672
GCF_014646675.1	ASM1464667v1	Scaffold	Lutibacter litoralis	100	3593658
GCF_900116115.1	IMG-taxon 2622736611 annotated assembly	Scaffold	Lutibacter maritimus	99.35	3484703
GCF_003426875.1	ASM342687v1	Contig	Lutibacter oceani	99.35	3391846
GCF_900106565.1	IMG-taxon 2693429896 annotated assembly	Contig	Lutibacter oricola	99.35	4129954
GCF_001543325.1	ASM154332v1	Complete Genome	Lutibacter profundi	97.9	2966978
GCF_000496075.1	LuBa1.0	Contig	Lutibaculum baratangense AMV1	98.77	4300776
GCF_900142185.1	IMG-taxon 2695420927 annotated assembly	Contig	Lutimaribacter pacificus	99.39	4422352
GCF_900100005.1	IMG-taxon 2675903213 annotated assembly	Contig	Lutimaribacter saemankumensis	98.93	3772513
GCF_030409835.1	ASM3040983v1	Scaffold	Lutimonas halocynthiae	99.19	3991010
GCF_020171465.1	ASM2017146v1	Contig	Lutimonas saemankumensis	98.54	3586397
GCF_024363565.1	ASM2436356v1	Contig	Lutispora saccharofermentans	99.5	4321915
GCF_900142105.1	IMG-taxon 2585428153 annotated assembly	Scaffold	Lutispora thermophila DSM 19022	100	3583033
GCF_900604355.1	PRJEB27165	Contig	Luxibacter massiliensis	98.68	4142938
GCF_000478195.2	ASM47819v2	Contig	Lyngbya aestuarii BL J	95.82	6867625
GCF_000817775.3	ASM81777v3	Scaffold	Lyngbya confervoides BDU141951	86.67	4850174
GCF_016638705.1	ASM1663870v1	Complete Genome	Lysinibacillus agricola	83.74	5285903
GCF_014643595.1	ASM1464359v1	Contig	Lysinibacillus alkalisoli	62.53	3216924
GCF_003977595.1	ASM397759v1	Contig	Lysinibacillus antri	74.14	4103755
GCF_002200915.1	ASM220091v1	Contig	Lysinibacillus boronitolerans JCM 21713 = 10a = NBRC 103108	95.07	4564150
GCF_020217405.1	ASM2021740v1	Complete Genome	Lysinibacillus capsici	97.98	4691642
GCF_009724685.1	ASM972468v1	Contig	Lysinibacillus cavernae	93.39	4690315
GCF_003856865.1	ASM385686v1	Scaffold	Lysinibacillus composti	76.84	4259757
GCF_001278945.1	ASM127894v1	Scaffold	Lysinibacillus contaminans	76.46	4100313
GCF_024159215.1	ASM2415921v1	Contig	Lysinibacillus endophyticus	70.32	3909693
GCF_000724775.3	ASM72477v3	Complete Genome	Lysinibacillus fusiformis	84.58	4843789
GCF_003711845.1	ASM371184v1	Scaffold	Lysinibacillus halotolerans	72.94	3548511
GCF_001281525.1	ASM128152v1	Scaffold	Lysinibacillus macroides	84.11	4866035
GCF_003049665.1	ASM304966v1	Contig	Lysinibacillus mangiferihumi	86.4	5313213
GCF_001591965.1	ASM159196v1	Contig	Lysinibacillus odysseyi 34hs-1 = NBRC 100172	80.27	4523637
GCF_030123245.1	ASM3012324v1	Complete Genome	Lysinibacillus pakistanensis	92.03	5249694
GCF_003049605.2	ASM304960v2	Complete Genome	Lysinibacillus parviboronicapiens	90.97	4822805
GCF_020546525.1	ASM2054652v1	Chromosome	Lysinibacillus sphaericus	87.2	4739908
GCF_005217585.1	ASM521758v1	Contig	Lysinibacillus tabacifolii	87.5	4505022
GCF_003966145.1	ASM396614v1	Contig	Lysinibacillus telephonicus	76.51	4346674
GCF_900291985.1	PRJEB24951	Chromosome	Lysinibacillus timonensis	70.96	4220244
GCF_000600105.1	ASM60010v1	Complete Genome	Lysinibacillus varians	88.7	4662822
GCF_001183605.1	ASM118360v1	Scaffold	Lysinibacillus xylanilyticus	89.28	5221635
GCF_003515775.1	ASM351577v1	Scaffold	Lysinibacillus yapensis	71.28	3785739
GCF_011758565.1	ASM1175856v1	Contig	Lysinibacter cavernae	98.56	3751826
GCF_006546775.1	ASM654677v1	Contig	Lysobacter aestuarii	88.13	3491084
GCF_006547045.1	ASM654704v1	Complete Genome	Lysobacter alkalisoli	85	3857091
GCF_019802285.1	ASM1980228v1	Contig	Lysobacter antarcticus	81.44	2784373
GCF_001442745.1	ASM144274v1	Complete Genome	Lysobacter antibioticus	85.17	5916388
GCF_016613475.2	ASM1661347v2	Complete Genome	Lysobacter arenosi	84.95	3947892
GCF_000768335.1	ASM76833v1	Contig	Lysobacter arseniciresistens ZS79	90.03	3085112
GCF_027924565.1	ASM2792456v1	Complete Genome	Lysobacter auxotrophicus	92.03	4155451
GCF_015209745.1	ASM1520974v1	Complete Genome	Lysobacter avium	82.35	2854808
GCF_014652095.1	ASM1465209v1	Scaffold	Lysobacter bugurensis	86.94	3459983
GCF_002355295.1	ASM235529v1	Complete Genome	Lysobacter capsici	87.3	6270417
GCF_018406605.1	ASM1840660v1	Complete Genome	Lysobacter caseinilyticus	84.39	3270651
GCF_021725675.1	ASM2172567v1	Contig	Lysobacter chinensis	85.19	4300039
GCF_015209725.1	ASM1520972v1	Complete Genome	Lysobacter ciconiae	84.68	2914291
GCF_000768345.1	ASM76834v1	Contig	Lysobacter concretionis Ko07 = DSM 16239	87.63	3032117
GCF_000768355.1	ASM76835v1	Contig	Lysobacter daejeonensis GH1-9	82.63	3275062
GCF_000423325.1	ASM42332v1	Scaffold	Lysobacter defluvii IMMIB APB-9 = DSM 18482	97.28	2722122
GCF_000770795.1	ASM77079v1	Contig	Lysobacter dokdonensis DS-58	82.79	3274406
GCF_002355975.1	ASM235597v1	Complete Genome	Lysobacter enzymogenes	86.78	6096022
GCF_009740395.1	ASM974039v1	Contig	Lysobacter gilvus	84.27	3385676
GCF_001442805.1	ASM144280v1	Complete Genome	Lysobacter gummosus	87.18	6056618
GCF_018406645.1	ASM1840664v1	Complete Genome	Lysobacter helvus	84.4	3270620
GCF_020866925.1	ASM2086692v1	Scaffold	Lysobacter lactosilyticus	81.68	3423651
GCF_008274655.1	ASM827465v1	Contig	Lysobacter lacus	86.83	2855702
GCF_907164845.1	Lysobacter_CECT30171	Complete Genome	Lysobacter luteus	90.88	2768593
GCF_007556775.1	ASM755677v1	Chromosome	Lysobacter lycopersici	78.23	2596173
GCF_003233695.1	ASM323369v1	Complete Genome	Lysobacter maris	85	4018049
GCF_015453285.1	ASM1545328v1	Contig	Lysobacter niastensis	89.35	4034846
GCF_003293695.1	ASM329369v1	Complete Genome	Lysobacter oculi	77.47	2592821
GCF_009765165.1	ASM976516v1	Scaffold	Lysobacter panacisoli	90.24	3879713
GCF_014145395.1	ASM1414539v1	Contig	Lysobacter penaei	81.75	3165626
GCF_009792795.1	ASM979279v1	Scaffold	Lysobacter profundi	79.39	2714881
GCF_003719825.1	ASM371982v1	Contig	Lysobacter psychrotolerans	85.89	3910744
GCF_003697345.1	ASM369734v1	Contig	Lysobacter pythonis	77.75	2929486
GCF_007830115.1	ASM783011v1	Scaffold	Lysobacter ruishenii	84.07	3359359
GCF_022808325.1	ASM2280832v1	Scaffold	Lysobacter sedimenti	82.36	2742811
GCF_004359965.1	ASM435996v1	Contig	Lysobacter segetis	91	2939468
GCF_020026895.1	ASM2002689v1	Contig	Lysobacter selenitireducens	90.69	3110147
GCF_002895945.1	ASM289594v1	Contig	Lysobacter silvestris	76.86	2847002
GCF_003382365.1	ASM338236v1	Contig	Lysobacter silvisoli	85.93	4536546
GCF_009755585.1	ASM975558v1	Complete Genome	Lysobacter soli	90.92	4109802
GCF_016613535.2	ASM1661353v2	Complete Genome	Lysobacter solisilvae	84.83	3933292
GCF_014145325.1	ASM1414532v1	Contig	Lysobacter spongiae	86.3	3640479
GCF_900167055.1	IMG-taxon 2568526003 annotated assembly	Contig	Lysobacter spongiicola DSM 21749	91.6	3099673
GCF_003586305.1	ASM358630v1	Scaffold	Lysobacter tabacisoli	87.38	3120411
GCF_011320095.1	ASM1132009v1	Contig	Lysobacter telluris	78.4	2860800
GCF_014489475.1	ASM1448947v1	Complete Genome	Lysobacter terrestris	84.27	3148097
GCF_004361065.1	ASM436106v1	Contig	Lysobacter terrigena	93.36	3221864
GCF_900155935.1	IMG-taxon 2681812867 annotated assembly	Contig	Lysobacter tolerans	81.25	2541122
GCF_014651995.1	ASM1465199v1	Scaffold	Lysobacter xinjiangensis	94.25	3043682
GCF_013409575.1	ASM1340957v1	Contig	Macellibacteroides fermentans	98.06	3935985
GCF_016865215.1	ASM1686521v1	Complete Genome	Macrococcoides bohemicum	91.99	2362417
GCF_021650955.1	ASM2165095v1	Complete Genome	Macrococcoides canis	91.9	2358201
GCF_016028795.1	ASM1602879v1	Complete Genome	Macrococcoides caseolyticum	92.22	2170973
GCF_002742385.2	ASM274238v2	Contig	Macrococcoides goetzii	92.03	2594081
GCF_020097095.1	ASM2009709v1	Complete Genome	Macrococcus armenti	93.28	2231192
GCF_030376725.1	ASM3037672v1	Complete Genome	Macrococcus bovicus	92.6	2157095
GCF_022343725.1	ASM2234372v1	Complete Genome	Macrococcus brunensis	92.6	2123615
GCF_004359515.1	ASM435951v1	Contig	Macrococcus carouselicus	90.12	2076527
GCF_024205965.1	ASM2420596v1	Complete Genome	Macrococcus epidermidis	92.4	2480757
GCF_024205945.1	ASM2420594v1	Complete Genome	Macrococcus equipercicus	91.71	2182654
GCF_014634985.1	ASM1463498v1	Contig	Macrococcus hajekii	90.62	2056514
GCF_004359545.1	ASM435954v1	Contig	Macrococcus lamae	93.53	2043275
GCF_002837135.1	ASM283713v1	Scaffold	Macromonas bipunctata	92.26	2699505
GCF_000025225.2	ASM2522v1	Complete Genome	Mageeibacillus indolicus UPII9-5	87.19	1809746
GCF_000014865.1	ASM1486v1	Complete Genome	Magnetococcus marinus MC-1	95.61	4719581
GCF_002109495.1	ASM210949v1	Contig	Magnetofaba australis IT-1	90.88	4986701
GCF_011022235.1	ASM1102223v1	Contig	Magnetospirillum aberrantis SpK	95.28	4148414
GCF_900108475.1	IMG-taxon 2597490343 annotated assembly	Scaffold	Magnetospirillum fulvum	84.92	3805060
GCF_000513295.1	MGMSRv2	Complete Genome	Magnetospirillum gryphiswaldense MSR-1 v2	93.72	4365796
GCF_000294655.1	Pm_DSM120	Contig	Magnetospirillum molischianum DSM 120	85.49	3805617
GCF_001650635.1	ASM165063v1	Contig	Magnetospirillum moscoviense	91.77	4164497
GCF_018224925.1	ASM1822492v1	Scaffold	Magnetospirillum sulfuroxidans	90.47	4132710
GCF_001746755.1	ASM174675v1	Contig	Magnetovibrio blakemorei	98.03	3638804
GCF_000213255.1	ASM21325v1	Complete Genome	Mahella australiensis 50-1 BON	98.02	3135972
GCF_900155525.1	Mailhella massiliensis	Scaffold	Mailhella massiliensis	94.87	3465670
GCF_007747795.1	ASM774779v1	Complete Genome	Maioricimonas rarisocia	99.42	7744989
GCF_008000835.1	ASM800083v1	Complete Genome	Malaciobacter canalis	99.45	2829476
GCF_003346755.1	ASM334675v1	Complete Genome	Malaciobacter halophilus	99.27	2812536
GCF_003544855.1	ASM354485v1	Complete Genome	Malaciobacter marinus	99.63	2917098
GCF_003544935.1	ASM354493v1	Complete Genome	Malaciobacter molluscorum LMG 25693	99.57	2800582
GCF_003346775.1	ASM334677v1	Complete Genome	Malaciobacter mytili LMG 24559	99.63	3037595
GCF_004214795.1	ASM421479v1	Complete Genome	Malaciobacter pacificus	99.5	2657991
GCF_900660615.1	51670_F01-3	Complete Genome	Malacoplasma iowae	97.9	1278574
GCF_000011225.1	ASM1122v1	Complete Genome	Malacoplasma penetrans HF-2	98.53	1358633
GCF_900167445.1	IMG-taxon 2524614863 annotated assembly	Scaffold	Maledivibacter halophilus	99.09	5802910
GCF_900604345.1	PRJEB24952	Complete Genome	Maliibacterium massiliense	97.41	2422126
GCF_002980595.1	ASM298059v1	Contig	Malikia granosa	95.53	3832968
GCF_002980625.1	ASM298062v1	Contig	Malikia spinosa	94.65	3778566
GCF_900184945.1	M.aquimaris_CECT8898_Spades_Prokka	Contig	Maliponia aquimaris	99.71	5313976
GCF_900142125.1	IMG-taxon 2585428155 annotated assembly	Contig	Malonomonas rubra DSM 5091	98.49	3961631
GCF_002211225.1	ASM221122v1	Contig	Mameliella alba	99.67	5421437
GCF_019218285.1	ASM1921828v1	Contig	Mameliella sediminis	97.87	5120735
GCF_002018435.1	ASM201843v1	Scaffold	Mammaliicoccus fleurettii	97.57	2582128
GCF_018502105.1	ASM1850210v1	Chromosome	Mammaliicoccus lentus	98.57	2802382
GCF_002209165.2	ASM220916v2	Complete Genome	Mammaliicoccus sciuri	98.76	2853815
GCF_900187075.1	50432_F01	Complete Genome	Mammaliicoccus stepanovicii	98.02	2439098
GCF_016725245.1	ASM1672524v1	Complete Genome	Mammaliicoccus vitulinus	98.9	2543530
GCF_001879105.1	ASM187910v1	Contig	Mangrovactinospora gilvigrisea	84.47	5213277
GCF_015482585.1	ASM1548258v1	Complete Genome	Mangrovibacillus cuniculi	98.02	3153416
GCF_001655675.1	ASM165567v1	Contig	Mangrovibacter phragmitis	100	4947475
GCF_003182475.1	ASM318247v1	Scaffold	Mangrovibacter plantisponsor	100	5352990
GCF_020523985.1	ASM2052398v1	Contig	Mangrovibacter yixingensis	100	4983067
GCF_003610535.1	ASM361053v1	Scaffold	Mangrovibacterium diazotrophicum	98.48	5800440
GCF_010882175.1	ASM1088217v1	Scaffold	Mangrovibacterium lignilyticum	98.11	5634442
GCF_003046625.1	ASM304662v1	Scaffold	Mangrovibacterium marinum	98.86	4598241
GCF_002893625.1	ASM289362v1	Contig	Mangrovicella endophytica	95.91	4432295
GCF_014903745.1	ASM1490374v1	Contig	Mangrovicoccus algicola	99.12	4397334
GCF_003056725.1	ASM305672v1	Contig	Mangrovicoccus ximenensis	69.04	5971869
GCF_014646155.1	ASM1464615v1	Scaffold	Mangrovihabitans endophyticus	96.84	7581334
GCF_021245805.1	ASM2124580v1	Contig	Mangrovimonas futianensis	100	3699592
GCF_003944795.1	FEB-2018	Contig	Mangrovimonas spongiae	99.68	2776420
GCF_001280435.1	ASM128043v1	Contig	Mangrovimonas xylaniphaga	100	3827241
GCF_014636995.1	ASM1463699v1	Contig	Mangrovimonas yunxiaonensis	99.68	2641972
GCF_002514725.1	ASM251472v1	Contig	Mangrovitalea sediminis	96.82	4390369
GCF_005166025.1	ASM516602v1	Complete Genome	Mangrovivirga cuniculi	93.42	4661901
GCF_026241165.1	ASM2624116v1	Contig	Mangrovivirga halotolerans	96.04	4643869
GCF_014541205.1	ASM1454120v1	Complete Genome	Mannheimia bovis	90.3	2155161
GCF_028649575.1	ASM2864957v1	Scaffold	Mannheimia cairinae	86.94	2310350
GCF_011455695.1	ASM1145569v1	Complete Genome	Mannheimia granulomatis	95.9	2278480
GCF_002285575.1	ASM228557v1	Complete Genome	Mannheimia haemolytica	98.4	2757078
GCF_000940515.1	Mannheimia massilioguelmaensis MG13T	Contig	Mannheimia massilioguelmaensis	83.9	2186813
GCF_013378015.1	ASM1337801v1	Complete Genome	Mannheimia pernigra	87.05	2262740
GCF_000521695.1	ASM52169v1	Complete Genome	Mannheimia varigena USDA-ARS-USMARC-1312	92.92	2131927
GCF_900186535.1	PRJEB21316	Contig	Marasmitruncus massiliensis	99.38	3761792
GCF_027474845.2	ASM2747484v2	Complete Genome	Maribacter aestuarii	88.63	3864851
GCF_005885635.1	ASM588563v1	Scaffold	Maribacter algarum	95.25	5110706
GCF_003933245.1	ASM393324v1	Contig	Maribacter algicola	95.5	4114314
GCF_000621125.1	ASM62112v1	Scaffold	Maribacter antarcticus DSM 21422	98.62	4853010
GCF_014596745.1	ASM1459674v1	Contig	Maribacter aquimaris	95.92	4863295
GCF_900142175.1	IMG-taxon 2622736581 annotated assembly	Scaffold	Maribacter aquivivus	96.67	4578396
GCF_900167935.1	IMG-taxon 2595698209 annotated assembly	Scaffold	Maribacter arcticus	96.48	4211145
GCF_014610845.1	ASM1461084v1	Contig	Maribacter arenosus	94.61	4171209
GCF_005780245.1	ASM578024v1	Contig	Maribacter aurantiacus	94.37	4158743
GCF_004364175.1	ASM436417v1	Scaffold	Maribacter caenipelagi	96.64	4281860
GCF_002269385.1	ASM226938v1	Complete Genome	Maribacter cobaltidurans	95.09	4639957
GCF_030505015.1	ASM3050501v1	Contig	Maribacter confluentis	97.32	4702480
GCF_900105105.1	IMG-taxon 2675903128 annotated assembly	Chromosome	Maribacter dokdonensis	97.28	4505800
GCF_008386635.1	ASM838663v1	Scaffold	Maribacter flavus	95.99	4303602
GCF_000744105.1	ASM74410v1	Contig	Maribacter forsetii DSM 18668	95.84	4514366
